province,school,year,track,top_gender,top_score,note
黑龙江,龙江一中,1983,理,NA,,并列
黑龙江,哈师大附中,1984,理,NA,,
黑龙江,哈师大附中,1984,文,NA,,
黑龙江,肇东一中,1987,理,NA,,姓名未公开
黑龙江,哈尔滨六中,1987,文,NA,580,
黑龙江,鸡西一中,1989,文,M,,性别=初筛确认(2026-08-09)
黑龙江,讷河一中,1990,理,NA,,
黑龙江,七台河高中,1990,文,NA,,
黑龙江,齐齐哈尔中学,1992,理,NA,,姓名未公开
黑龙江,黑河一中,1993,理,NA,,
黑龙江,哈师大附中,1993,文,NA,,
黑龙江,哈尔滨六中,1994,理,NA,,
黑龙江,宁安朝鲜族中学,1994,文,NA,640,语140政110史119
黑龙江,哈尔滨三中,1995,理,NA,,
黑龙江,佳木斯一中,1995,文,M,,性别=初筛确认(2026-08-09)
黑龙江,齐齐哈尔中学,1996,理,NA,,姓名未公开
黑龙江,哈尔滨六中,1996,文,NA,,
黑龙江,绥芬河高级中学,1997,理,M,,性别=初筛确认(2026-08-09)
黑龙江,哈尔滨三中,1997,文,NA,,
黑龙江,望奎一中,1998,理,M,692,男(原文'他');东北三省理科状元;录取北大
黑龙江,尚志朝鲜族中学,1998,文,NA,,
黑龙江,绥滨一中,1999,理,M,,男(原文'他');录取清华
黑龙江,哈尔滨三中,1999,文,F,661,录取北大经院；性别=初筛确认(2026-08-09)
黑龙江,肇东一中,2000,理,M,685,男(原文'他');语128数135英135物140化147;录取清华自动化
黑龙江,大庆实验中学,2000,文,F,641,女(原文'她');语120数136英144政129史112;录取北大经院;并列
黑龙江,哈尔滨三中,2000,文,NA,,并列
黑龙江,牡丹江一中,2001,理,NA,689,语143数141英132综273
黑龙江,哈尔滨三中,2001,文,F,662,女(原文'她');录取北大光华
黑龙江,哈尔滨三中,2002,理,F,711,女(原文'她');语126数145英140综300;录取清华经管
黑龙江,尚志朝鲜族中学,2002,文,F,668,女(原文'她');语137数142英130综259;录取北大
黑龙江,哈尔滨三中,2003,理,M,679,男(原文'他');录取清华电子信息
黑龙江,哈尔滨三中,2003,文,F,662,女(原文'她');录取北大光华
黑龙江,大庆一中,2004,理,F,693,女(原文'她');录取清华建筑
黑龙江,海林朝鲜族中学,2004,文,F,650,性别=初筛确认(2026-08-09)
黑龙江,佳木斯一中,2005,理,F,703,女(原文'她');并列;录取北大光华
黑龙江,佳木斯一中,2005,理,M,703,男(原文'他');并列;语138数136英135综294;录取北大元培
黑龙江,大庆铁人中学,2005,理,NA,703,并列
黑龙江,鸡西一中,2005,文,M,676,男(原文'他');语126数142英133综275;录取北大光华
黑龙江,哈师大附中,2006,理,NA,712,录取清华生命科学
黑龙江,佳木斯一中,2006,文,F,673,录取北大光华；性别=初筛确认(2026-08-09)
黑龙江,哈尔滨三中,2007,理,F,718,女(原文'她');并列;语138数146英141综293;录取清华经管
